datetime,temp,humidity
2024-05-08 08:40:45+00:00,39.29,44.8
2024-05-08 08:41:45+00:00,39.33,44.41
2024-05-08 08:42:45+00:00,39.3,43.89
2024-05-08 08:43:45+00:00,39.35,43.41
2024-05-08 08:44:45+00:00,39.11,44.43
2024-05-08 08:45:45+00:00,39.04,44.85
2024-05-08 08:46:45+00:00,39.17,43.73
2024-05-08 08:47:45+00:00,39.15,43.51
2024-05-08 08:49:00+00:00,38.47,44.58
2024-05-08 08:50:00+00:00,38.63,45.15
2024-05-08 08:51:00+00:00,39.35,43.5
2024-05-08 08:52:00+00:00,39.37,43.18
2024-05-08 08:53:00+00:00,39.4,42.88
2024-05-08 08:54:00+00:00,39.47,43.08
2024-05-08 08:55:00+00:00,39.43,42.66
2024-05-08 08:56:00+00:00,39.5,42.39
2024-05-08 08:57:00+00:00,39.46,42.53
2024-05-08 08:58:00+00:00,39.43,42.28
2024-05-08 08:59:00+00:00,39.33,42.19
2024-05-08 09:00:00+00:00,39.46,42.31
2024-05-08 09:01:15+00:00,39.36,42.22
2024-05-08 09:02:15+00:00,39.44,42.39
2024-05-08 09:03:15+00:00,39.4,42.04
2024-05-08 09:04:15+00:00,39.45,41.84
2024-05-08 09:05:15+00:00,39.43,42.01
2024-05-08 09:06:15+00:00,39.48,41.85
2024-05-08 09:07:15+00:00,39.04,43.14
2024-05-08 09:08:15+00:00,39.38,42.01
2024-05-08 09:09:15+00:00,39.38,42.15
2024-05-08 09:10:15+00:00,39.32,41.83
2024-05-08 09:11:15+00:00,39.44,41.87
2024-05-08 09:12:15+00:00,39.03,43.31
2024-05-08 09:13:30+00:00,39.4,42.31
2024-05-08 09:14:30+00:00,39.36,42.52
2024-05-08 09:15:30+00:00,39.02,43.05
2024-05-08 09:16:30+00:00,38.96,41.75
2024-05-08 09:17:30+00:00,39.25,41.88
2024-05-08 09:18:30+00:00,39.04,43.1
2024-05-08 09:19:30+00:00,38.69,43.96
2024-05-08 09:20:30+00:00,38.54,44.78
2024-05-08 09:21:30+00:00,38.54,45.54
2024-05-08 09:22:30+00:00,39.19,42.86
2024-05-08 09:23:30+00:00,39.18,43.35
2024-05-08 09:24:30+00:00,38.86,44.44
2024-05-08 09:25:45+00:00,39.11,43.93
2024-05-08 09:26:45+00:00,39.23,43.75
2024-05-08 09:27:45+00:00,38.8,45.53
2024-05-08 09:28:45+00:00,39.36,43.59
2024-05-08 09:29:45+00:00,39.15,43.73
2024-05-08 09:30:45+00:00,38.54,45.76
2024-05-08 09:31:45+00:00,38.52,46.1
2024-05-08 09:32:45+00:00,38.64,46.02
2024-05-08 09:33:45+00:00,39.15,43.98
2024-05-08 09:34:45+00:00,39.14,44.4
2024-05-08 09:35:45+00:00,39.35,43.36
2024-05-08 09:36:45+00:00,39.14,43.86
2024-05-08 09:38:00+00:00,38.9,44.68
2024-05-08 09:39:00+00:00,39.44,43.07
2024-05-08 09:40:00+00:00,39.39,43.7
2024-05-08 09:41:00+00:00,39.05,44.33
2024-05-08 09:42:00+00:00,39.24,44.6
2024-05-08 09:43:00+00:00,39.16,44.56
2024-05-08 09:44:00+00:00,39.24,44.64
2024-05-08 09:45:00+00:00,39.37,44.35
2024-05-08 09:46:00+00:00,39.44,43.39
2024-05-08 09:47:00+00:00,39.31,43.8
2024-05-08 09:48:00+00:00,38.9,44.56
2024-05-08 09:49:00+00:00,38.7,45.67
2024-05-08 09:50:15+00:00,39.01,45.98
2024-05-08 09:51:15+00:00,39.08,45.97
2024-05-08 09:52:15+00:00,39.05,45.53
2024-05-08 09:53:15+00:00,39.24,45.38
2024-05-08 09:54:15+00:00,39.35,45.43
2024-05-08 09:55:15+00:00,39.18,45.55
2024-05-08 09:56:15+00:00,39.25,45.28
2024-05-08 09:57:15+00:00,39.26,45.32
2024-05-08 09:58:15+00:00,39.21,45.68
2024-05-08 09:59:15+00:00,39.32,45.65
2024-05-08 10:00:15+00:00,39.26,45.99
2024-05-08 10:01:15+00:00,39.12,46.05
2024-05-08 10:02:15+00:00,39.4,45.15
2024-05-08 10:03:30+00:00,39.43,45.23
2024-05-08 10:04:30+00:00,39.42,45.51
2024-05-08 10:05:30+00:00,39.4,45.22
2024-05-08 10:06:30+00:00,39.23,46.54
2024-05-08 10:07:30+00:00,39.09,46.87
2024-05-08 10:08:30+00:00,39.35,45.99
2024-05-08 10:09:30+00:00,39.24,45.21
2024-05-08 10:10:30+00:00,39.29,46.03
2024-05-08 10:11:30+00:00,39.1,47.09
2024-05-08 10:12:30+00:00,39.09,46.25
2024-05-08 10:13:30+00:00,39.08,46.73
2024-05-08 10:14:30+00:00,39.13,46.88
2024-05-08 10:15:45+00:00,39.42,45.57
2024-05-08 10:16:45+00:00,39.41,46.37
2024-05-08 10:17:45+00:00,39.21,47.02
2024-05-08 10:18:45+00:00,39.35,46.13
2024-05-08 10:19:45+00:00,39.3,45.94
2024-05-08 10:20:45+00:00,39.41,45.94
2024-05-08 10:21:45+00:00,39.47,46.16
2024-05-08 10:22:45+00:00,39.44,45.43
2024-05-08 10:23:45+00:00,39.4,45.98
2024-05-08 10:24:45+00:00,39.21,46.45
2024-05-08 10:25:45+00:00,39.48,45.16
2024-05-08 10:26:45+00:00,39.33,45.96
2024-05-08 10:27:45+00:00,39.01,47.49
2024-05-08 10:29:00+00:00,38.7,48.3
2024-05-08 10:30:00+00:00,38.78,48.32
2024-05-08 10:31:00+00:00,39.41,46.05
2024-05-08 10:32:00+00:00,39.47,45.31
2024-05-08 10:33:00+00:00,39.53,45.19
2024-05-08 10:34:00+00:00,39.26,45.2
2024-05-08 10:35:00+00:00,39.14,45.42
2024-05-08 10:36:00+00:00,39.4,45.89
2024-05-08 10:37:00+00:00,39.54,45.08
2024-05-08 10:38:00+00:00,39.42,45.65
2024-05-08 10:39:00+00:00,39.42,44.83
2024-05-08 10:40:00+00:00,39.21,45.44
2024-05-08 10:41:15+00:00,39.39,45.14
2024-05-08 10:42:15+00:00,39.46,44.99
2024-05-08 10:43:15+00:00,39.36,45.75
2024-05-08 10:44:15+00:00,39.5,44.95
2024-05-08 10:45:15+00:00,39.06,46.75
2024-05-08 10:46:15+00:00,38.51,48.01
2024-05-08 10:47:15+00:00,39.27,45.86
2024-05-08 10:48:15+00:00,39.36,45.25
2024-05-08 10:49:15+00:00,38.95,45.06
2024-05-08 10:50:15+00:00,38.9,45.46
2024-05-08 10:51:15+00:00,39.02,46.64
2024-05-08 10:52:30+00:00,38.4,47.79
2024-05-08 10:53:30+00:00,38.2,48.66
2024-05-08 10:54:30+00:00,38.55,47.92
2024-05-08 10:55:30+00:00,38.54,48.01
2024-05-08 10:56:30+00:00,38.53,47.96
2024-05-08 10:57:30+00:00,38.54,48.07
2024-05-08 10:58:30+00:00,38.79,47.66
2024-05-08 10:59:30+00:00,38.6,47.6
2024-05-08 11:00:30+00:00,38.75,47.44
2024-05-08 11:01:30+00:00,38.46,47.76
2024-05-08 11:02:30+00:00,38.61,47.69
2024-05-08 11:03:30+00:00,38.41,48.03
2024-05-08 11:04:45+00:00,38.52,48.03
2024-05-08 11:05:45+00:00,38.44,47.92
2024-05-08 11:06:45+00:00,38.63,47.94
2024-05-08 11:07:45+00:00,38.46,47.9
2024-05-08 11:08:45+00:00,38.49,48.11
2024-05-08 11:09:45+00:00,38.55,48.07
2024-05-08 11:10:45+00:00,38.44,48.6
2024-05-08 11:11:45+00:00,38.54,48.2
2024-05-08 11:12:45+00:00,38.61,48.19
2024-05-08 11:13:45+00:00,38.47,48.21
2024-05-08 11:14:45+00:00,38.62,48.18
2024-05-08 11:15:45+00:00,38.6,48.28
2024-05-08 11:16:45+00:00,38.55,48.47
2024-05-08 11:18:00+00:00,38.48,48.66
2024-05-08 11:19:00+00:00,38.64,48.57
2024-05-08 11:20:00+00:00,38.51,48.65
2024-05-08 11:21:00+00:00,38.58,48.38
2024-05-08 11:22:00+00:00,38.47,48.74
2024-05-08 11:23:00+00:00,38.58,48.34
2024-05-08 11:24:00+00:00,38.48,48.52
2024-05-08 11:25:00+00:00,38.45,48.83
2024-05-08 11:26:00+00:00,38.47,48.85
2024-05-08 11:27:00+00:00,38.42,48.95
2024-05-08 11:28:00+00:00,38.41,48.8
2024-05-08 11:29:00+00:00,38.35,48.61
